Chapter,QuestionID,AnswerNumber,QuestionText,AnswerText,CorrectFlag
2b,2211,1,"Le materie della classe 4.1, durante il trasporto, devono:",Essere protette dagli sfregamenti e dalle scintille,V
2b,2211,2,"Le materie della classe 4.1, durante il trasporto, devono:",Essere tenute lontano da fonti di calore e dall'irraggiamento solare,V
2b,2211,3,"Le materie della classe 4.1, durante il trasporto, devono:","In molti casi, essere stivate su veicoli coperti, isotermici o refrigerati o frigoriferi e mantenute ad una temperatura controllata",V
2b,2211,4,"Le materie della classe 4.1, durante il trasporto, devono:",Sempre essere stivate in veicoli aperti,F
2b,2211,5,"Le materie della classe 4.1, durante il trasporto, devono:",Essere protette da pioggia e umidità,F
2b,2211,6,"Le materie della classe 4.1, durante il trasporto, devono:",Sempre essere tenute lontano dai prodotti corrosivi,F
2b,2212,1,Perché le materie della classe 4.2 sono pericolose?,Si incendiano spontaneamente a contatto con l'aria,V
2b,2212,2,Perché le materie della classe 4.2 sono pericolose?,Si incendiano senza che occorrano inneschi (fiamme o scintille),V
2b,2212,3,Perché le materie della classe 4.2 sono pericolose?,A contatto con l'ossigeno entrano in autocombustione spontanea,V
2b,2212,4,Perché le materie della classe 4.2 sono pericolose?,Evaporano velocemente in aria asciutta,F
2b,2212,5,Perché le materie della classe 4.2 sono pericolose?,Si incendiano spontaneamente a contatto con l'acqua,F
2b,2212,6,Perché le materie della classe 4.2 sono pericolose?,Sono solamente tossiche,F
2b,2213,1,Le materie della classe 4.2 devono essere trasportate:,In veicoli chiusi o telonati,V
2b,2213,2,Le materie della classe 4.2 devono essere trasportate:,In modo da impedire che entrino in contatto con l'aria,V
2b,2213,3,Le materie della classe 4.2 devono essere trasportate:,Per alcune materie in imballaggi chiusi ermeticamente,V
2b,2213,4,Le materie della classe 4.2 devono essere trasportate:,Solo in veicoli scoperti,F
2b,2213,5,Le materie della classe 4.2 devono essere trasportate:,Sempre a temperatura controllata,F
2b,2213,6,Le materie della classe 4.2 devono essere trasportate:,Lontano da materie tossiche e in furgoni areati,F
2b,2214,1,Perché le materie della classe 4.3 sono pericolose?,Reagiscono con l'acqua emettendo gas infiammabili,V
2b,2214,2,Perché le materie della classe 4.3 sono pericolose?,A contatto con l'acqua possono provocare incendi o miscele esplosive,V
2b,2214,3,Perché le materie della classe 4.3 sono pericolose?,Se entrano in contatto con l'acqua possono formare miscele esplosive con l'aria,V
2b,2214,4,Perché le materie della classe 4.3 sono pericolose?,A contatto con l'acqua producono liquidi corrosivi,F
2b,2214,5,Perché le materie della classe 4.3 sono pericolose?,Reagiscono con l'acqua emettendo sostanze ossidanti,F
2b,2214,6,Perché le materie della classe 4.3 sono pericolose?,Bruciano se raggiungono il loro punto d'infiammabilità,F
2b,2215,1,Le materie della classe 4.3 devono essere trasportate:,In modo da impedire ogni contatto con l'acqua,V
2b,2215,2,Le materie della classe 4.3 devono essere trasportate:,Generalmente in veicoli chiusi o telonati,V
2b,2215,3,Le materie della classe 4.3 devono essere trasportate:,In imballaggi chiusi ermeticamente in maniera da impedire la penetrazione dell'umidità,V
2b,2215,4,Le materie della classe 4.3 devono essere trasportate:,In veicoli aperti per disperdere eventuali emissioni di gas,F
2b,2215,5,Le materie della classe 4.3 devono essere trasportate:,Protette dalla polvere presente nell'aria,F
2b,2215,6,Le materie della classe 4.3 devono essere trasportate:,Lontano da gas inerti (azoto),F
2b,2216,1,Perché le materie della classe 5.1 sono pericolose?,Spesso fanno bruciare i materiali combustibili,V
2b,2216,2,Perché le materie della classe 5.1 sono pericolose?,Contengono ossigeno e lo liberano molto rapidamente cioè favoriscono l'incendio,V
2b,2216,3,Perché le materie della classe 5.1 sono pericolose?,"Alimentano l'incendio anche se l'aria non è presente, perché emettono ossigeno",V
2b,2216,4,Perché le materie della classe 5.1 sono pericolose?,Evaporano completamente sotto l'irraggiamento solare,F
2b,2216,5,Perché le materie della classe 5.1 sono pericolose?,Assorbono l'ossigeno dell'aria circostante,F
2b,2216,6,Perché le materie della classe 5.1 sono pericolose?,Rilasciano idrogeno a contatto con l'aria con possibili rischi d'incendio,F
2b,2217,1,Le materie comburenti possono provocare o favorire l'incendio?,"Sì, se entrano in contatto con materiali combustibili",V
2b,2217,2,Le materie comburenti possono provocare o favorire l'incendio?,"Sì, pur non essendo esse stesse combustibili",V
2b,2217,3,Le materie comburenti possono provocare o favorire l'incendio?,"Sì, di materiali combustibili quali il legno, la segatura, gli indumenti",V
2b,2217,4,Le materie comburenti possono provocare o favorire l'incendio?,"Sì, quando reagiscono con l'acqua",F
2b,2217,5,Le materie comburenti possono provocare o favorire l'incendio?,"Sì, perché sono molto infiammabili",F
2b,2217,6,Le materie comburenti possono provocare o favorire l'incendio?,"Sì, perché s'incendiano sempre a temperature basse",F
2b,2218,1,"Le materie della classe 5.1, devono essere trasportate:","Molte di esse in veicoli chiusi o telonati, con telone impermeabile e non infiammabile",V
2b,2218,2,"Le materie della classe 5.1, devono essere trasportate:",Segregate (lontano) dalle materie combustibili,V
2b,2218,3,"Le materie della classe 5.1, devono essere trasportate:",In modo da evitare perdite dagli imballaggi che le contengono,V
2b,2218,4,"Le materie della classe 5.1, devono essere trasportate:",Solo in imballaggi di alluminio,F
2b,2218,5,"Le materie della classe 5.1, devono essere trasportate:",Lontano dai liquidi corrosivi,F
2b,2218,6,"Le materie della classe 5.1, devono essere trasportate:",Sempre in imballaggi idonei a sopportare le alte pressioni,F
2b,2219,1,Perché le materie della classe 5.2 sono pericolose?,Sono termicamente instabili e possono decomporsi liberando gas infiammabili e/o tossici,V
2b,2219,2,Perché le materie della classe 5.2 sono pericolose?,Possono decomporsi in maniera accelerata ed esplosiva,V
2b,2219,3,Perché le materie della classe 5.2 sono pericolose?,"Possono decomporsi sviluppando calore, e bruciare rapidamente",V
2b,2219,4,Perché le materie della classe 5.2 sono pericolose?,Liberano sempre gas infiammabili quando sono bagnate,F
2b,2219,5,Perché le materie della classe 5.2 sono pericolose?,Si decompongono solo a basse temperature.,F
2b,2219,6,Perché le materie della classe 5.2 sono pericolose?,Diventano instabili a contatto con l'azoto dell'aria,F
2b,2220,1,La decomposizione dei perossidi organici può essere provocata:,Dall'aumento della temperatura,V
2b,2220,2,La decomposizione dei perossidi organici può essere provocata:,"Dal contatto con impurezze (acidi, metalli, ammine)",V
2b,2220,3,La decomposizione dei perossidi organici può essere provocata:,Dagli sfregamenti e dagli urti,V
2b,2220,4,La decomposizione dei perossidi organici può essere provocata:,Dall'umidità dell'aria,F
2b,2220,5,La decomposizione dei perossidi organici può essere provocata:,Dalla diminuzione della temperatura,F
2b,2220,6,La decomposizione dei perossidi organici può essere provocata:,Dalla bassa pressione,F
2b,2221,1,Le materie della classe 5.2 devono essere generalmente trasportate:,"In veicoli telonati o chiusi (muniti di buona ventilazione), e sempre lontano dalle fonti di calore e dall'irraggiamento solare",V
2b,2221,2,Le materie della classe 5.2 devono essere generalmente trasportate:,"Quelle più pericolose, in veicoli isotermici, refrigeranti o frigoriferi e mantenute ad una temperatura controllata",V
2b,2221,3,Le materie della classe 5.2 devono essere generalmente trasportate:,Alcune di esse ad una temperatura inferiore a quella di decomposizione,V
2b,2221,4,Le materie della classe 5.2 devono essere generalmente trasportate:,In atmosfera di gas inerte,F
2b,2221,5,Le materie della classe 5.2 devono essere generalmente trasportate:,Coperte da uno strato d'acqua,F
2b,2221,6,Le materie della classe 5.2 devono essere generalmente trasportate:,Sempre in vani di carico scoperti,F
2b,2222,1,Perché le materie della classe 6.1 sono pericolose?,Sono dannose per la salute dell'uomo e degli animali,V
2b,2222,2,Perché le materie della classe 6.1 sono pericolose?,"Possono causare la morte per inalazione, assorbimento cutaneo o ingestione",V
2b,2222,3,Perché le materie della classe 6.1 sono pericolose?,Anche in quantità piccole e in poco tempo possono avvelenare l'uomo e gli animali,V
2b,2222,4,Perché le materie della classe 6.1 sono pericolose?,Possono provocare l’incendio dei materiali combustibili,F
2b,2222,5,Perché le materie della classe 6.1 sono pericolose?,Possono reagire pericolosamente con tutte le materie plastiche,F
2b,2222,6,Perché le materie della classe 6.1 sono pericolose?,"Causano danni (per corrosione) alle altre merci, o ai mezzi di trasporto su cui sono caricate",F
2b,2223,1,Durante il trasporto di gas tossici secondo l’ADR:,Tra gli equipaggiamenti di protezione individuali del conducente deve essere presente la maschera di evacuazione d’emergenza,V
2b,2223,2,Durante il trasporto di gas tossici secondo l’ADR:,Si deve evitare di entrare in contatto con i loro vapori,V
2b,2223,3,Durante il trasporto di gas tossici secondo l’ADR:,I colli possono essere senza etichette di pericolo,F
2b,2223,4,Durante il trasporto di gas tossici secondo l’ADR:,"Il vano di carico deve essere a chiusura ermetica, ovvero senza nessuna apertura per la circolazione dell’aria al suo interno",F
2b,2223,5,Durante il trasporto di gas tossici secondo l’ADR:,Bisogna sempre utilizzare furgoni frigoriferi,F
2b,2224,1,Perché le materie della classe 6.2 sono pericolose?,Contengono micro-organismi che possono provocare infezioni agli uomini e agli animali,V
2b,2224,2,Perché le materie della classe 6.2 sono pericolose?,Possono trasmettere malattie agli uomini e agli animali,V
2b,2224,3,Perché le materie della classe 6.2 sono pericolose?,"Possono essere costituite da batteri, parassiti, virus, per i quali non esiste alcuna profilassi o antidoto in caso di contagio",V
2b,2224,4,Perché le materie della classe 6.2 sono pericolose?,Reagiscono pericolosamente a contatto dell'acqua,F
2b,2224,5,Perché le materie della classe 6.2 sono pericolose?,I loro vapori sono sempre tossici per assorbimento cutaneo,F
2b,2224,6,Perché le materie della classe 6.2 sono pericolose?,Possono danneggiare i tessuti della pelle per contatto,F
2b,2225,1,"Le materie della classe 6.2, infettanti per l'uomo o per gli animali, devono essere trasportate:",Separate dai colli contenenti alimenti,V
2b,2225,2,"Le materie della classe 6.2, infettanti per l'uomo o per gli animali, devono essere trasportate:","In imballaggi combinati, cioè in uno o più imballaggi interni sistemati in un imballaggio esterno",V
2b,2225,3,"Le materie della classe 6.2, infettanti per l'uomo o per gli animali, devono essere trasportate:",Solo su veicoli scoperti,F
2b,2225,4,"Le materie della classe 6.2, infettanti per l'uomo o per gli animali, devono essere trasportate:",In veicoli attrezzati con furgone frigorifero,F
2b,2225,5,"Le materie della classe 6.2, infettanti per l'uomo o per gli animali, devono essere trasportate:",Solo coperte d'acqua,F
2b,2226,1,Perché le materie della classe 8 sono pericolose?,Possono danneggiare gravemente i tessuti viventi (pelle e mucose) con cui entrano in contatto,V
2b,2226,2,Perché le materie della classe 8 sono pericolose?,"Possono causare danni (corrosione) alle altre merci, o ai mezzi di trasporto su cui sono caricate",V
2b,2226,3,Perché le materie della classe 8 sono pericolose?,"A contatto con l'acqua o con l'umidità naturale dell'aria, possono creare vapori o nebbie corrosive",V
2b,2226,4,Perché le materie della classe 8 sono pericolose?,Causano la perdita dell'udito,F
2b,2226,5,Perché le materie della classe 8 sono pericolose?,Uccidono sempre al contatto,F
2b,2226,6,Perché le materie della classe 8 sono pericolose?,Sono infiammabili a temperatura ambiente,F
2b,2227,1,"Gli acidi e le basi o alcali, appartenenti alla classe 8, devono essere contenuti:",In imballaggi che resistano alla loro azione chimica,V
2b,2227,2,"Gli acidi e le basi o alcali, appartenenti alla classe 8, devono essere contenuti:",Nella maggior parte dei casi in imballaggi metallici in acciaio inossidabile che resistono alla corrosione,V
2b,2227,3,"Gli acidi e le basi o alcali, appartenenti alla classe 8, devono essere contenuti:",In alcuni casi in imballaggi  in plastica o in metallo rivestito internamente con gomme protettive,V
2b,2227,4,"Gli acidi e le basi o alcali, appartenenti alla classe 8, devono essere contenuti:",In imballaggi che permettano la fuoriuscita dei fumi o vapori,F
2b,2227,5,"Gli acidi e le basi o alcali, appartenenti alla classe 8, devono essere contenuti:",Sempre in imballaggi di rame,F
2b,2227,6,"Gli acidi e le basi o alcali, appartenenti alla classe 8, devono essere contenuti:",Esclusivamente in imballaggi di plastica,F
2b,2228,1,Le materie della classe 8 devono essere trasportate:,In imballaggi costituiti da materiali resistenti alla loro azione corrosiva,V
2b,2228,2,Le materie della classe 8 devono essere trasportate:,In imballaggi costituiti da materiali che non possano reagire pericolosamente con il loro contenuto,V
2b,2228,3,Le materie della classe 8 devono essere trasportate:,"Solo in veicoli telonati o chiusi (muniti di buona ventilazione), e sempre lontano dalle fonti di calore e dall'irraggiamento solare",F
2b,2228,4,Le materie della classe 8 devono essere trasportate:,Sempre in veicoli scoperti per disperdere eventuali perdite di liquidi o di vapori,F
2b,2228,5,Le materie della classe 8 devono essere trasportate:,Solo in imballaggi di vetro o ceramica,F
2b,2229,1,Perché le materie e oggetti della classe 9 sono pericolose?,Durante il trasporto presentano un pericolo diverso da quelli rappresentati dalle altre classi di pericolo,V
2b,2229,2,Perché le materie e oggetti della classe 9 sono pericolose?,Sottoforma di polveri di amianto possono mettere a rischio la salute,V
2b,2229,3,Perché le materie e oggetti della classe 9 sono pericolose?,In caso di incendio possono liberare diossine,V
2b,2229,4,Perché le materie e oggetti della classe 9 sono pericolose?,Non sopportano il contatto con l'acqua,F
2b,2229,5,Perché le materie e oggetti della classe 9 sono pericolose?,Comportano sempre rischi di tossicità e corrosività,F
2b,2229,6,Perché le materie e oggetti della classe 9 sono pericolose?,Entrano in autocombustione a contatto con l'aria,F
2b,2230,1,Tra le materie e oggetti pericolosi diversi della classe 9 figurano:,"Le polveri fini d'amianto che non devono essere disperse durante il trasporto, perché se respirate provocano il cancro",V
2b,2230,2,Tra le materie e oggetti pericolosi diversi della classe 9 figurano:,Alcune materie liquide trasportate a caldo ad una temperatura superiore a 100°C,V
2b,2230,3,Tra le materie e oggetti pericolosi diversi della classe 9 figurano:,Alcune materie inquinanti per l'ambiente acquatico,V
2b,2230,4,Tra le materie e oggetti pericolosi diversi della classe 9 figurano:,Soltanto materiali radioattivi o esplosivi,F
2b,2230,5,Tra le materie e oggetti pericolosi diversi della classe 9 figurano:,Le materie corrosive,F
2b,2230,6,Tra le materie e oggetti pericolosi diversi della classe 9 figurano:,Alcuni gas,F
2b,2230,7,Tra le materie e oggetti pericolosi diversi della classe 9 figurano:,Pile al Litio,V
2b,2231,1,"Le materie e oggetti pericolosi diversi, devono essere trasportati:",In modo da evitare perdite dagli imballaggi che le contengono,V
2b,2231,2,"Le materie e oggetti pericolosi diversi, devono essere trasportati:",In imballaggi che li proteggono accuratamente e non li facciano fuoriuscire,V
2b,2231,3,"Le materie e oggetti pericolosi diversi, devono essere trasportati:",In imballaggi marcati con il numero ONU,V
2b,2231,4,"Le materie e oggetti pericolosi diversi, devono essere trasportati:",In imballaggi che ne impediscano la solidificazione,F
2b,2231,5,"Le materie e oggetti pericolosi diversi, devono essere trasportati:",Immerse nell'acqua,F
2b,2231,6,"Le materie e oggetti pericolosi diversi, devono essere trasportati:",Esclusivamente in imballaggi che consentono di vedere il contenuto,F
2b,2232,1,Le materie della Classe 2 sono pericolose perché:,Sono gas e quindi sono trasportati in recipienti a pressione,V
2b,2232,2,Le materie della Classe 2 sono pericolose perché:,C'è il rischio di esplosione del recipiente a pressione se non si rispettano le condizioni di sicurezza in sede di riempimento del gas,V
2b,2232,3,Le materie della Classe 2 sono pericolose perché:,"Possono causare incendio, se infiammabili",V
2b,2232,4,Le materie della Classe 2 sono pericolose perché:,Liberano vapore acqueo che favorisce la combustione,F
2b,2232,5,Le materie della Classe 2 sono pericolose perché:,"Evaporando, generano calore",F
2b,2232,6,Le materie della Classe 2 sono pericolose perché:,"Se comburenti, attaccano i metalli",F
2b,2233,1,Le materie della Classe 2 devono essere trasportate:,In recipienti a pressione soggetti a revisione periodica,V
2b,2233,2,Le materie della Classe 2 devono essere trasportate:,In recipienti chiusi e a tenuta,V
2b,2233,3,Le materie della Classe 2 devono essere trasportate:,In recipienti sottoposti a prova di pressione per prevenirne l'esplosione,V
2b,2233,4,Le materie della Classe 2 devono essere trasportate:,Solo in bombole di capacità inferiore a 100 litri,F
2b,2233,5,Le materie della Classe 2 devono essere trasportate:,In fusti di acciaio ebanitati,F
2b,2233,6,Le materie della Classe 2 devono essere trasportate:,Solo in bombole munite di manometro,F
2b,2234,1,Le materie della Classe 4.3 possono causare un incendio?,"No, mai",F
2b,2234,2,Le materie della Classe 4.3 possono causare un incendio?,Se entrano a contatto con l'acqua possono sviluppare gas infiammabili,V
2b,2234,3,Le materie della Classe 4.3 possono causare un incendio?,"Sì, sono solidi infiammabili",F
2b,2234,4,Le materie della Classe 4.3 possono causare un incendio?,"Sì, sono liquidi infiammabili",F
2b,2234,5,Le materie della Classe 4.3 possono causare un incendio?,Si se entrano a contatto con l'acqua e fonti di calore,V
2b,2235,1,Alcune materie della Classe 9,"Sono materie che, inalate sotto forma di polvere fine, possono comportare un rischio per la salute",V
2b,2235,2,Alcune materie della Classe 9,Sono esplosive,F
2b,2235,3,Alcune materie della Classe 9,Possono inquinare i fiumi,V
2b,2235,4,Alcune materie della Classe 9,Causano congelamento,F
2b,2235,5,Alcune materie della Classe 9,Sono gassose,F
2c,,1,La fusione indica il passaggio di stato da:,Solido a liquido,V
2c,,2,La fusione indica il passaggio di stato da:,Liquido a gassoso,F
2c,,3,La fusione indica il passaggio di stato da:,Solido a gassoso,F
2c,,4,La fusione indica il passaggio di stato da:,Gassoso a liquido,F
2c,,5,La fusione indica il passaggio di stato da:,Gassoso a solido,F
2c,2302,1,La solidificazione indica il passaggio di stato da:,Liquido a solido,V
2c,2302,2,La solidificazione indica il passaggio di stato da:,Liquido a gassoso,F
2c,2302,3,La solidificazione indica il passaggio di stato da:,Solido a gassoso,F
2c,2302,4,La solidificazione indica il passaggio di stato da:,Gassoso a liquido,F
2c,2302,5,La solidificazione indica il passaggio di stato da:,Gassoso a solido,F
2c,2303,1,L'evaporazione indica il passaggio di stato da:,Liquido a gassoso,V
2c,2303,2,L'evaporazione indica il passaggio di stato da:,Solido a liquido,F
2c,2303,3,L'evaporazione indica il passaggio di stato da:,Liquido a solido,F
2c,2303,4,L'evaporazione indica il passaggio di stato da:,Solido a gassoso,F
2c,2303,5,L'evaporazione indica il passaggio di stato da:,Gassoso a liquido,F
2c,2304,1,Cosa si intende con il termine miscibile?,Che un liquido è capace di miscelarsi con un altro liquido per formare una miscela omogenea,V
2c,2304,2,Cosa si intende con il termine miscibile?,Che un liquido evapora facilmente,F
2c,2304,3,Cosa si intende con il termine miscibile?,Che un liquido non è molto fluido,F
2c,2304,4,Cosa si intende con il termine miscibile?,Che un liquido non si mescola con l'acqua o altre sostanze liquide,F
2c,2305,1,L'aria contiene:,Circa il 79% di azoto,V
2c,2305,2,L'aria contiene:,Circa il 21% di ossigeno,V
2c,2305,3,L'aria contiene:,Circa il 79% di ossigeno,F
2c,2305,4,L'aria contiene:,Circa il 21% di azoto,F
2c,2305,5,L'aria contiene:,Circa il 21% di vapore acqueo + il 79% di anidride carbonica,F
2c,2306,1,I liquidi infiammabili ...,Alcuni sono miscibili ed altri sono non miscibili con l'acqua,V
2c,2306,2,I liquidi infiammabili ...,Sono tutti miscibili con l'acqua,F
2c,2306,3,I liquidi infiammabili ...,Sono tutti non miscibili con l'acqua,F
2c,2306,4,I liquidi infiammabili ...,Alcuni sono più leggeri ed altri sono più pesanti dell'acqua,V
2c,2306,5,I liquidi infiammabili ...,Sono tutti più leggeri dell'acqua,F
2c,2306,6,I liquidi infiammabili ...,Sono tutti più pesanti dell'acqua,F
2c,2307,1,"Perché avvenga un incendio, sono necessari:",Combustibile + comburente + innesco e calore,V
2c,2307,2,"Perché avvenga un incendio, sono necessari:",Aria + benzina + innesco e calore,V
2c,2307,3,"Perché avvenga un incendio, sono necessari:",Solo combustibile + comburente,F
2c,2307,4,"Perché avvenga un incendio, sono necessari:",Comburente + ossigeno + innesco e calore,F
2c,2307,5,"Perché avvenga un incendio, sono necessari:",Combustibile + gas inerte + innesco e calore,F
2c,2307,6,"Perché avvenga un incendio, sono necessari:",Comburente + gas infiammabile + innesco e calore,V
2c,2308,1,Un aumento della percentuale di ossigeno nell'aria,Favorisce la combustione,V
2c,2308,2,Un aumento della percentuale di ossigeno nell'aria,Aumenta la probabilità di incendio,V
2c,2308,3,Un aumento della percentuale di ossigeno nell'aria,Rallenta la combustione,F
2c,2308,4,Un aumento della percentuale di ossigeno nell'aria,Impedisce la combustione,F
2c,2308,5,Un aumento della percentuale di ossigeno nell'aria,Spegne rapidamente l'incendio,F
2c,2309,1,Cos'è il punto d'infiammabilità?,Una temperatura,V
2c,2309,2,Cos'è il punto d'infiammabilità?,Una pressione,F
2c,2309,3,Cos'è il punto d'infiammabilità?,Una unità di misura del tempo di durata della combustione,F
2c,2310,1,Il punto d'infiammabilità è:,La temperatura alla quale un combustibile liquido comincia ad emettere vapori in quantità tale che si incendiano in presenza di innesco,V
2c,2310,2,Il punto d'infiammabilità è:,La pressione che emette un liquido quando viene riscaldato,F
2c,2310,3,Il punto d'infiammabilità è:,E’  la temperatura più bassa alla quale un liquido inizia a formare vapori infiammabili miscelandosi con l’aria,V
2c,2310,4,Il punto d'infiammabilità è:,La temperatura alla quale un liquido diventa gas,F
2c,2310,5,Il punto d'infiammabilità è:,"La temperatura (uguale per tutti i combustibili liquidi), alla quale essi emettono vapori in quantità tale da infiammarsi in presenza di innesco",F
2c,2310,6,Il punto d'infiammabilità è:,"La temperatura (diversa per ogni liquido infiammabile), alla quale essi emettono vapori in quantità tale da infiammarsi in presenza di innesco",V
2c,2311,1,Quale dei seguenti punti d'infiammabilità è il più pericoloso?,+ 20°C,F
2c,2311,2,Quale dei seguenti punti d'infiammabilità è il più pericoloso?,+ 10°C,F
2c,2311,3,Quale dei seguenti punti d'infiammabilità è il più pericoloso?,- 5°C,V
2c,2312,1,Com'è possibile evitare che una materia infiammabile prenda fuoco?,Eliminando le fonti d'infiammabilità (inneschi = fiamme e scintille),V
2c,2312,2,Com'è possibile evitare che una materia infiammabile prenda fuoco?,Mantenendo la temperatura della materia sotto il suo punto d'infiammabilità,V
2c,2312,3,Com'è possibile evitare che una materia infiammabile prenda fuoco?,Riscaldando la materia fino alla sua temperatura di ebollizione,F
2c,2312,4,Com'è possibile evitare che una materia infiammabile prenda fuoco?,"Introducendo nell'imballaggio azoto, cioè eliminando l'ossigeno",V
2c,2312,5,Com'è possibile evitare che una materia infiammabile prenda fuoco?,Scaricando a pressione con aria calda,F
2c,2313,1,"In generale, una materia infiammabile presenta maggiore pericolo:",Se ha basso punto d'infiammabilità,V
2c,2313,2,"In generale, una materia infiammabile presenta maggiore pericolo:",Se ha punto d'infiammabilità inferiore alla temperatura ambiente,V
2c,2313,3,"In generale, una materia infiammabile presenta maggiore pericolo:",Se ha alto punto d'infiammabilità,F
2c,2313,4,"In generale, una materia infiammabile presenta maggiore pericolo:",Se ha punto d'infiammabilità superiore alla temperatura ambiente,F
2c,2314,1,All'aumentare della temperatura:,I liquidi evaporano più velocemente,V
2c,2314,2,All'aumentare della temperatura:,I liquidi diminuiscono l'emissione di vapori,F
2c,2314,3,All'aumentare della temperatura:,I liquidi generalmente aumentano di volume,V
2c,2314,4,All'aumentare della temperatura:,I liquidi diminuiscono di volume,F
2c,2314,5,All'aumentare della temperatura:,I gas aumentano la pressione sulle pareti dei recipienti che li contengono,V
2c,2314,6,All'aumentare della temperatura:,I gas mantengono la stessa pressione,F
2c,2315,1,"Quali delle seguenti affermazioni relative alla solubilità nell'acqua, sono corrette?",Tutte le materie pericolose sono solubili nell'acqua,F
2c,2315,2,"Quali delle seguenti affermazioni relative alla solubilità nell'acqua, sono corrette?",Molte materie della classe 3 sono insolubili nell'acqua (p.es. gli idrocarburi),V
2c,2315,3,"Quali delle seguenti affermazioni relative alla solubilità nell'acqua, sono corrette?",Alcune materie pericolose sono solubili nell'acqua,V
2c,2315,4,"Quali delle seguenti affermazioni relative alla solubilità nell'acqua, sono corrette?",L'incendio degli idrocarburi (ad esempio la benzina) è difficile da spegnere con getti d'acqua perché gli idrocarburi non sono miscibili in acqua,V
2c,2315,5,"Quali delle seguenti affermazioni relative alla solubilità nell'acqua, sono corrette?",L'incendio degli idrocarburi (ad esempio la benzina) è facile da spegnere con getti d'acqua,F
2c,2315,6,"Quali delle seguenti affermazioni relative alla solubilità nell'acqua, sono corrette?",L'incendio di tutte le materie pericolose è facile da spegnere con l'acqua,F
2c,2316,1,Cos'è il punto di autoaccensione o autoignizione?,"È la temperatura minima per iniziare la combustione delle sostanze, anche in assenza di fiamme o scintille",V
2c,2316,2,Cos'è il punto di autoaccensione o autoignizione?,È la minima temperatura alla quale la miscela combustibile-comburente inizia a bruciare spontaneamente,V
2c,2316,3,Cos'è il punto di autoaccensione o autoignizione?,È la temperatura minima alla quale il combustibile deve essere riscaldato per iniziare spontaneamente la combustione e mantenerla,V
2c,2316,4,Cos'è il punto di autoaccensione o autoignizione?,È la pressione alla quale una miscela infiammabile esplode,F
2c,2316,5,Cos'è il punto di autoaccensione o autoignizione?,La temperatura alla quale un combustibile liquido comincia ad emettere vapori in quantità tale che si incendiano solo se innescati,F
2c,2316,6,Cos'è il punto di autoaccensione o autoignizione?,La pressione alla quale una miscela combustibile-comburente inizia a bruciare spontaneamente,F
2c,2317,1,"Per diminuire i rischi di incendio delle materie infiammabili, occorre:",Tenerle lontano dalle materie comburenti,V
2c,2317,2,"Per diminuire i rischi di incendio delle materie infiammabili, occorre:",Tenerle lontano da possibili fonti di calore,V
2c,2317,3,"Per diminuire i rischi di incendio delle materie infiammabili, occorre:",Stivare tali materie lontano dai gas inerti,F
2c,2317,4,"Per diminuire i rischi di incendio delle materie infiammabili, occorre:",Utilizzare imballaggi esclusivamente di plastica,F
2c,2317,5,"Per diminuire i rischi di incendio delle materie infiammabili, occorre:",Stivare tali materie solo su veicoli scoperti,F
2c,2318,1,Quali possono essere le cause di un incendio?,Anche l'elevata temperatura ambiente,V
2c,2318,2,Quali possono essere le cause di un incendio?,La presenza di fiamme o scintille,V
2c,2318,3,Quali possono essere le cause di un incendio?,Non esistono mai cause precise,F
2c,2318,4,Quali possono essere le cause di un incendio?,La bassa temperatura ambiente,F
2c,2318,5,Quali possono essere le cause di un incendio?,La vicinanza di gas inerti nel vano di carico,F
2c,2319,1,"Secondo l'ADR, per materia chimicamente instabile s'intende:","Una sostanza che, se non vengono prese misure particolari, può decomporsi in altre sostanze in modo pericoloso",V
2c,2319,2,"Secondo l'ADR, per materia chimicamente instabile s'intende:","Una sostanza che, per azione del calore o per il contatto con altre materie, può reagire pericolosamente in maniera violenta",V
2c,2319,3,"Secondo l'ADR, per materia chimicamente instabile s'intende:",Una sostanza che deve essere caricata in maniera stabile sui veicoli,F
2c,2319,4,"Secondo l'ADR, per materia chimicamente instabile s'intende:","Una sostanza che, se non vengono prese misure particolari, si può muovere all'interno dell'imballaggio",F
2c,2319,5,"Secondo l'ADR, per materia chimicamente instabile s'intende:","Una sostanza che, in linea generale deve essere riscaldata durante il trasporto",F
2c,2320,1,Una materia pericolosa per l'ambiente ai sensi della normativa del trasporto,Non può mai causare danni alla salute,F
2c,2320,2,Una materia pericolosa per l'ambiente ai sensi della normativa del trasporto,"Può provocare l’inquinamento del mare, dei fiumi, dei laghi",V
2c,2320,3,Una materia pericolosa per l'ambiente ai sensi della normativa del trasporto,Non può essere trasportata su strada,F
2c,2320,4,Una materia pericolosa per l'ambiente ai sensi della normativa del trasporto,Non può mai essere tossica per gli uomini e gli animali,F
2c,2321,1,Lo strumento per controllare la pressione durante il trasporto è,Il termometro,F
2c,2321,2,Lo strumento per controllare la pressione durante il trasporto è,L’esplosimetro,F
2c,2321,3,Lo strumento per controllare la pressione durante il trasporto è,Il manometro,V
2c,2321,4,Lo strumento per controllare la pressione durante il trasporto è,Il rilevatore del contatore del gas in aria,F
2c,2321,5,Lo strumento per controllare la pressione durante il trasporto è,L'igrometro,F
